Box      50.000      50.000      50.000
< Point NoPoints      4234>
< id domain_id area X Y Z Nx Ny Nz P1x P1y P1z P2x P2y P2z C1 C2  >
< Outer >
    0    0     0.755    11.065    33.720    14.067  -0.560   0.048  -0.827   0.273  -0.932  -0.239  -0.782  -0.360   0.508   0.142  -0.003
    1    0     0.339     7.994    32.334    24.307  -0.871  -0.454   0.189  -0.256   0.092  -0.962   0.419  -0.886  -0.196   0.082  -0.126
    2    1     0.665    36.967     8.098    23.987   0.114  -0.716  -0.689  -0.818   0.326  -0.474   0.564   0.617  -0.548   0.162   0.122
    3    1     0.647    31.908    22.612    33.589  -0.193   0.778   0.598  -0.453  -0.611   0.649   0.870  -0.146   0.471   0.134   0.086
    4    0     0.579    25.904    19.426    21.012  -0.396  -0.153  -0.905   0.337  -0.942   0.011  -0.854  -0.300   0.425   0.322   0.259
    5    1     0.732    40.868    18.449    34.261   0.664   0.508   0.548  -0.041  -0.708   0.705   0.746  -0.491  -0.449   0.171   0.055
    6    1     0.558    27.981    26.250    27.433   0.451   0.800   0.395  -0.535  -0.113   0.838   0.715  -0.589   0.377   0.125  -0.566
    7    0     0.336    29.849    24.532    23.006   0.434   0.688  -0.581   0.377   0.447   0.811   0.818  -0.571  -0.065   0.246  -0.001
    8    0     0.709    15.413    24.952    24.845  -0.502  -0.814   0.292   0.359  -0.503  -0.786   0.787  -0.290   0.545   0.272   0.099
    9    0     0.385    28.823    19.210    20.454  -0.087  -0.004  -0.996   0.078  -0.997  -0.003  -0.993  -0.078   0.087   0.224   0.017
   10    1     0.710    35.084    19.018    36.559   0.138   0.336   0.932  -0.456  -0.814   0.361   0.879  -0.474   0.041   0.013  -0.030
   11    1     0.637    40.417    20.131    26.128   0.658   0.673  -0.337   0.622  -0.738  -0.261  -0.425  -0.038  -0.905   0.111   0.031
   12    1     0.678    40.705     9.091    32.927   0.577  -0.656   0.486   0.152  -0.499  -0.853   0.802   0.567  -0.188   0.054  -0.038
   13    0     0.460    29.409    22.131    21.085   0.204   0.377  -0.904   0.591   0.689   0.420   0.781  -0.619  -0.082   0.265  -0.105
   14    1     0.608    42.339    11.558    33.314   0.817  -0.314   0.484  -0.548  -0.685   0.481   0.181  -0.658  -0.731   0.172   0.027
   15    0     0.694    26.036    35.383    23.125   0.898   0.386   0.210   0.018  -0.510   0.860   0.439  -0.769  -0.466   0.100  -0.051
   16    1     0.328    20.023    33.678    29.487   0.398   0.084   0.913  -0.081  -0.989   0.127   0.914  -0.124  -0.387   0.343   0.059
   17    1     0.334    35.392    23.616    26.629   0.434   0.865  -0.250   0.080   0.240   0.968   0.897  -0.440   0.035   0.488  -0.041
   18    1     0.507    41.586    17.159    34.408   0.754   0.344   0.559   0.637  -0.592  -0.494   0.161   0.729  -0.665   0.282   0.155
   19    1     0.726    38.544     8.066    24.547   0.293  -0.711  -0.639   0.081   0.684  -0.725   0.953   0.160   0.258   0.145   0.079
   20    0     0.351    34.852    13.836    21.256   0.221  -0.298  -0.929   0.143   0.952  -0.271   0.965  -0.073   0.253  -0.197  -0.353
   21    1     0.555    25.020    13.643    27.015  -0.913  -0.405  -0.056  -0.048   0.241  -0.969   0.406  -0.882  -0.240   0.272   0.099
   22    0     0.541    34.530    22.866    23.960   0.477   0.769  -0.427   0.499   0.163   0.851   0.724  -0.619  -0.306   0.075  -0.070
   23    1     0.654    15.222    26.703    27.334  -0.315  -0.765   0.562  -0.748  -0.165  -0.643   0.584  -0.623  -0.520   0.154  -0.066
   24    1     0.634    35.034     6.780    26.263  -0.117  -0.938  -0.326  -0.478   0.341  -0.809   0.870   0.061  -0.488   0.173   0.021
   25    0     0.665    33.208    19.506    20.547   0.151   0.346  -0.926   0.567   0.737   0.368   0.810  -0.581  -0.085   0.101  -0.057
   26    1     0.620    33.503    19.745    36.460  -0.062   0.467   0.882   0.663  -0.641   0.386   0.746   0.609  -0.270   0.280   0.131
   27    1     0.415    23.482    28.636    28.583   0.351  -0.007   0.936  -0.617  -0.754   0.225   0.704  -0.657  -0.269   0.238  -0.038
   28    0     0.497    33.807     9.760    22.884  -0.110  -0.581  -0.806   0.484   0.677  -0.554   0.868  -0.451   0.207   0.102  -0.068
